step,timestamp,mode,total_waiting_time,baseline_waiting_time,total_queue,total_throughput,rl_gain
1,1776321024.2434618,mock,304.77,345.934,130.82,9.101,41.164000000000044
1,1776323536.5259695,sumo,0.0,17.4,12.0,18.0,17.4
2,1776323538.5259938,sumo,0.0,15.0,0.0,20.052,15.0
3,1776323540.5209036,sumo,0.0,15.0,0.0,21.981,15.0
4,1776323542.536515,sumo,0.0,15.4,2.0,23.572,15.4
5,1776323544.5523021,sumo,0.0,15.0,0.0,25.378,15.0
6,1776323546.5774581,sumo,0.0,15.0,0.0,26.994,15.0
7,1776323548.5916958,sumo,0.0,15.0,0.0,28.147,15.0
8,1776323550.590352,sumo,0.0,15.2,1.0,28.2,15.2
9,1776323552.5739343,sumo,0.0,15.2,1.0,28.049,15.2
10,1776323554.5808396,sumo,0.0,15.0,0.0,28.164,15.0
11,1776323556.5949106,sumo,0.0,15.0,0.0,27.524,15.0
12,1776323558.6094356,sumo,0.0,15.0,0.0,24.32,15.0
13,1776323560.6588318,sumo,0.0,15.2,1.0,20.783,15.2
14,1776323562.647004,sumo,2.0,17.6,3.0,18.899,15.600000000000001
15,1776323564.657589,sumo,11.0,27.8,9.0,18.411,16.8
16,1776323566.647824,sumo,21.0,38.0,10.0,18.307,17.0
17,1776323568.6650658,sumo,31.0,48.2,11.0,18.398,17.200000000000003
18,1776323570.670637,sumo,41.0,58.2,11.0,18.425,17.200000000000003
19,1776323572.6939502,sumo,51.0,68.2,11.0,17.691,17.200000000000003
20,1776323574.6830215,sumo,61.0,78.0,10.0,18.037,17.0
21,1776323576.6961353,sumo,71.0,89.2,16.0,18.244,18.200000000000003
22,1776323578.699904,sumo,81.0,98.2,11.0,17.775,17.200000000000003
23,1776323580.6992111,sumo,91.0,109.0,15.0,18.271,18.0
24,1776323582.7123227,sumo,101.0,118.2,11.0,19.382,17.200000000000003
25,1776323584.723743,sumo,111.0,128.2,11.0,20.303,17.19999999999999
26,1776323586.7427068,sumo,121.0,138.0,10.0,21.496,17.0
27,1776323588.7427125,sumo,131.0,148.4,12.0,21.877,17.400000000000006
28,1776323590.7557578,sumo,141.0,158.0,10.0,22.776,17.0
29,1776323592.7562795,sumo,151.0,168.2,11.0,22.89,17.19999999999999
30,1776323594.7693534,sumo,161.0,178.2,11.0,22.906,17.19999999999999
31,1776323596.773097,sumo,171.0,188.0,10.0,22.03,17.0
32,1776323598.7837305,sumo,181.0,198.2,11.0,20.921,17.19999999999999
33,1776323600.7928987,sumo,192.0,209.4,12.0,19.319,17.400000000000006
34,1776323602.797455,sumo,203.0,220.2,11.0,18.422,17.19999999999999
35,1776323604.800242,sumo,219.0,237.6,18.0,17.684,18.599999999999994
36,1776323606.802382,sumo,237.0,255.6,18.0,17.721,18.599999999999994
37,1776323608.8120236,sumo,257.0,276.0,20.0,17.774,19.0
38,1776323610.8159475,sumo,277.0,296.4,22.0,17.432,19.399999999999977
39,1776323612.8261883,sumo,297.0,316.0,20.0,17.815,19.0
40,1776323614.8335733,sumo,317.0,336.2,21.0,17.145,19.19999999999999
41,1776323616.8416448,sumo,338.0,358.4,27.0,17.305,20.399999999999977
42,1776323618.8492653,sumo,357.0,376.0,20.0,17.769,19.0
43,1776323620.8491426,sumo,377.0,396.2,21.0,17.92,19.19999999999999
44,1776323622.8497183,sumo,397.0,417.2,26.0,18.012,20.19999999999999
45,1776323624.8549414,sumo,417.0,436.0,20.0,18.73,19.0
46,1776323626.8812728,sumo,437.0,456.2,21.0,19.396,19.19999999999999
47,1776323628.9056952,sumo,457.0,476.2,21.0,19.971,19.19999999999999
48,1776323630.9309125,sumo,477.0,496.0,20.0,20.301,19.0
49,1776323632.9332166,sumo,497.0,516.2,21.0,20.205,19.200000000000045
50,1776323634.9578958,sumo,517.0,536.2,21.0,20.427,19.200000000000045
51,1776323636.9428034,sumo,537.0,556.0,20.0,19.889,19.0
52,1776323638.948475,sumo,557.0,576.4,22.0,19.041,19.399999999999977
53,1776323640.9521327,sumo,578.0,597.2,21.0,18.866,19.200000000000045
54,1776323642.961735,sumo,603.0,623.0,25.0,18.33,20.0
55,1776323644.9518347,sumo,628.0,648.4,27.0,17.395,20.399999999999977
56,1776323646.969304,sumo,654.0,674.2,26.0,17.49,20.200000000000045
57,1776323648.9651747,sumo,683.0,704.2,31.0,16.998,21.200000000000045
58,1776323650.967963,sumo,712.0,732.8,29.0,16.931,20.799999999999955
59,1776323652.984032,sumo,742.0,763.0,30.0,17.204,21.0
60,1776323654.9878933,sumo,772.0,793.2,31.0,17.118,21.200000000000045
61,1776323657.0126767,sumo,802.0,824.2,36.0,16.856,22.200000000000045
62,1776323659.0074775,sumo,832.0,853.2,31.0,17.358,21.200000000000045
63,1776323661.02148,sumo,862.0,883.0,30.0,17.445,21.0
64,1776323663.036317,sumo,892.0,913.2,31.0,17.809,21.200000000000045
65,1776323665.0477986,sumo,923.0,945.2,36.0,18.272,22.200000000000045
66,1776323667.0480409,sumo,952.0,973.2,31.0,18.238,21.200000000000045
67,1776323669.0594032,sumo,982.0,1003.0,30.0,19.041,21.0
68,1776323671.0605226,sumo,1012.0,1033.2,31.0,18.992,21.200000000000045
69,1776323673.075317,sumo,1042.0,1063.2,31.0,19.102,21.200000000000045
70,1776323675.0732448,sumo,1072.0,1093.0,30.0,19.343,21.0
71,1776323677.0934474,sumo,1102.0,1123.2,31.0,18.063,21.200000000000045
72,1776323679.089194,sumo,1132.0,1153.2,31.0,17.708,21.200000000000045
73,1776323681.1045747,sumo,1163.0,1184.2,31.0,17.349,21.200000000000045
74,1776323683.0910258,sumo,1196.0,1218.0,35.0,16.987,22.0
75,1776323685.1330423,sumo,1230.0,1251.8,34.0,17.369,21.799999999999955
76,1776323687.1160414,sumo,1265.0,1287.0,35.0,16.629,22.0
77,1776323689.1224315,sumo,1301.0,1323.4,37.0,17.139,22.40000000000009
78,1776323691.1425502,sumo,1341.0,1364.2,41.0,16.715,23.200000000000045
79,1776323693.1476712,sumo,1381.0,1404.0,40.0,17.059,23.0
80,1776323695.1576996,sumo,1421.0,1444.0,40.0,16.803,23.0
81,1776323697.1691577,sumo,1461.0,1485.4,47.0,16.957,24.40000000000009
82,1776323699.1767,sumo,1502.0,1525.2,41.0,16.883,23.200000000000045
83,1776323701.1797175,sumo,1541.0,1564.0,40.0,17.215,23.0
84,1776323703.1983502,sumo,1581.0,1604.2,41.0,16.062,23.200000000000045
85,1776323705.1889877,sumo,1621.0,1644.2,41.0,15.991,23.200000000000045
86,1776323707.191027,sumo,1661.0,1685.2,46.0,16.356,24.200000000000045
87,1776323709.2145908,sumo,1702.0,1725.4,42.0,17.042,23.40000000000009
88,1776323711.2257907,sumo,1741.0,1764.0,40.0,17.502,23.0
89,1776323713.2332265,sumo,1781.0,1804.2,41.0,17.665,23.200000000000045
90,1776323715.2565627,sumo,1821.0,1844.2,41.0,17.359,23.200000000000045
91,1776323717.2585685,sumo,1861.0,1884.0,40.0,17.413,23.0
92,1776323719.2743347,sumo,1902.0,1925.4,42.0,17.008,23.40000000000009
